,link_text,href
0,Preliminary Provisions,https://www.chanrobles.com/implementingrulesofthelaborcodepreliminary.html
1,"Book I
Pre-Employment",https://www.chanrobles.com/implementingrulesofthelaborcode1.htm
2,"Book II
Human Resources Development Program",https://www.chanrobles.com/implementingrulesofthelaborcode2.html
3,"Book III
Conditions of Employment",https://www.chanrobles.com/implementingrulesofthelaborcode3.html
4,"Book IV
Health, Safety and Social Welfare Benefits",https://www.chanrobles.com/implementingrulesofthelaborcode4.html
5,"Book V
Labor Relations",https://www.chanrobles.com/implementingrulesofthelaborcode5.html
6,"Book VI
Post Employment",https://www.chanrobles.com/implementingrulesofthelaborcode6.html
7,"Book VII
Final Provisions",https://www.chanrobles.com/implementingrulesofthelaborcode7.html
