,link_text,href
58,Law Increasing Penalty for Violation of  Wage Laws [R.A. 8188],https://www.chanrobles.com/legal4wagepenalty.htm
59,Productivity Incentives Act of 1990  [Republic Act No. 6971],https://www.chanrobles.com/republicactno6971.htm
60,Law Further Amending Articles 38 and 39 of the Labor Code by Making Illegal Recruitment a Crime of Economic Sabotage and Punishable with Life Imprisonment [Presidential Decree No. 2018],https://www.chanrobles.com/presidentialdecreeno2018.html
61,Civil Service Decree of the Philippines (Presidential Decree No. 807),https://www.chanrobles.com/presidentialdecreeno807.htm
62,"AN ACT REPEALING SECTION FORTY OF PRESIDENTIAL DECREE NUMBERED EIGHT HUNDRED SEVEN, OTHERWISE KNOWN AS THE CIVIL SERVICE DECREE.  (Republic Act No. 6654)",https://www.chanrobles.com/republicactno6654.htm
63,AN ACT TO PROTECT THE SECURITY OF TENURE OF CIVIL SERVICE OFFICERS AND EMPLOYEES IN THE IMPLEMENTATION OF GOVERNMENT REORGANIZATION. (Republic Act No. 6656),https://www.chanrobles.com/republicactno6656.htm
64,"AN ACT PROVIDING BENEFITS FOR EARLY RETIREMENT AND VOLUNTARY SEPARATION FROM THE GOVERNMENT SERVICE, AS WELL AS INVOLUNTARY SEPARATION OF CIVIL SERVICE OFFICERS AND EMPLOYEES PURSUANT TO VARIOUS EXECUTIVE ORDERS AUTHORIZING GOVERNMENT REORGANIZATION AFTER THE RATIFICATION OF THE 1987 CONSTITUTION APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES. (Republic Act No. 6683)",https://www.chanrobles.com/republicactno6683.htm
65,AN ACT AUTHORIZING ANNUAL CHRISTMAS BONUS TO NATIONAL AND LOCAL GOVERNMENT OFFICIALS AND EMPLOYEES STARTING CY 1988. (Republic Act No. 6686),https://www.chanrobles.com/republicactno6686.htm
66,COMPENSATION AND POSITION CLASSIFICATION ACT OF 1989  (AN ACT PRESCRIBING A REVISED COMPENSATION AND POSITION CLASSIFICATION SYSTEM IN THE GOVERNMENT AND FOR OTHER PURPOSES) (Republic Act No. 6758),https://www.chanrobles.com/republicactno6758.htm
67,"AN ACT TO GRANT CIVIL SERVICE ELIGIBILITY UNDER CERTAIN CONDITIONS TO GOVERNMENT EMPLOYEES APPOINTED UNDER PROVISIONAL OR TEMPORARY STATUS WHO HAVE RENDERED A TOTAL OF SEVEN (7) YEARS OF EFFICIENT SERVICE, AND FOR OTHER PURPOSES. (Republic Act No. 6850)",https://www.chanrobles.com/republicactno6850.htm
68,Cooperative Code of the Philippines [Republic Act No. 6938],https://www.chanrobles.com/republicactno6938.htm
69,"AN ACT CREATING THE COOPERATIVE DEVELOPMENT AUTHORITY TO PROMOTE THE VIABILITY AND GROWTH OF COOPERATIVES AS INSTRUMENTS OF EQUITY, SOCIAL JUSTICE AND ECONOMIC DEVELOPMENT, DEFINING ITS POWERS, FUNCTIONS AND RESPONSIBILITIES, RATIONALIZING GOVERNMENT POLICIES AND AGENCIES WITH COOPERATIVE FUNCTIONS, SUPPORTING COOPERATIVE DEVELOPMENT, TRANSFERRING THE REGISTRATION AND REGULATION FUNCTIONS OF EXISTING GOVERNMENT AGENCIES ON COOPERATIVES AS SUCH AND CONSOLIDATING THE SAME WITH THE AUTHORITY, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES. (Republic Act No. 6939)",https://www.chanrobles.com/republicactno6939.htm
