,link_text,href
0,The 13th-Month Pay Law (Presidential Decree No. 851),https://www.chanrobles.com/presidentialdecreeno851.htm
1,The 13th-Month Pay Law - Implementing Rules,https://www.chanrobles.com/presidentialdecreeno851rules.htm
2,The 13th-Month Pay Law - Supplementary Rules,https://www.chanrobles.com/presidentialdecreeno851supplementaryrules.htm
3,"The 13th-Month Pay Law - Guidelines (Administrative Order No. 2, S. 1976)",https://www.chanrobles.com/presidentialdecreeno851guidelines.htm
4,Revised Guidelines on the Implementation of the 13th Month Pay Law,https://www.chanrobles.com/revised13thmonthpayguidelines.htm
